Catalog ID,University,Program,Country,City,Degree level,Category,Intake,Language,Deadline,Program website,QS Ranking
polimi-msc-aeronautical-engineering,Politecnico di Milano,Aeronautical Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/aeronautical-engineering,87
polimi-msc-agricultural-engineering,Politecnico di Milano,Agricultural Engineering,Italy,Cremona,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/agricultural-engineering,87
polimi-msc-architectural-design-and-history,Politecnico di Milano,Architectural Design and History,Italy,Mantua,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/architectural-design-and-history,87
polimi-msc-architectural-engineering,Politecnico di Milano,Architectural Engineering,Italy,Lecco,Master’s,Architecture & Urbanism,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/architectural-engineering,87
polimi-msc-architecture,Politecnico di Milano,Architecture,Italy,Milan,Master’s,Architecture & Urbanism,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/architecture,87
polimi-msc-automation-and-control-engineering,Politecnico di Milano,Automation and Control Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/automation-and-control-engineering,87
polimi-msc-bioinformatics-for-computational-genomics,Politecnico di Milano,Bioinformatics for Computational Genomics,Italy,Milan,Master’s,Computer Science & Data,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/bioinformatics-for-computational-genomics,87
polimi-msc-biomedical-engineering-1,Politecnico di Milano,Biomedical Engineering,Italy,Milan,Master’s,Health & Biomedical,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/biomedical-engineering-1,87
polimi-msc-building-engineering-for-sustainability,Politecnico di Milano,Building Engineering for Sustainability,Italy,Milan,Master’s,Architecture & Urbanism,Fall,Italian / English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/building-engineering-for-sustainability,87
polimi-msc-chemical-engineering,Politecnico di Milano,Chemical Engineering,Italy,Milan,Master’s,Engineering,Fall,English,,https://www.polimi.it/en/education/laurea-magistrale-programmes/programme-detail/chemical-engineering,87
